URL,NAME,LINE
http://www.mta.info/nyct/subway/index.html,125th St,A-B-C-D
http://www.mta.info/nyct/subway/index.html,Prince St,N-R
http://www.mta.info/nyct/subway/index.html,8th St - NYU,N-R
http://www.mta.info/nyct/subway/index.html,Fulton St,2-3
http://www.mta.info/nyct/subway/index.html,Park Pl,2-3
http://www.mta.info/nyct/subway/index.html,Chambers St,1-2-3
http://www.mta.info/nyct/subway/index.html,Hoyt St,2-3
http://www.mta.info/nyct/subway/index.html,Borough Hall,2-3
http://www.mta.info/nyct/subway/index.html,183rd St,4
http://www.mta.info/nyct/subway/index.html,Fordham Rd,4
http://www.mta.info/nyct/subway/index.html,World Trade Center,E
http://www.mta.info/nyct/subway/index.html,Canal St - Holland Tunnel,A-C-E
http://www.mta.info/nyct/subway/index.html,155th St,A-C
http://www.mta.info/nyct/subway/index.html,163rd St - Amsterdam Av,A-C
http://www.mta.info/nyct/subway/index.html,Fulton St,J-Z
http://www.mta.info/nyct/subway/index.html,Chambers St,J-Z
http://www.mta.info/nyct/subway/index.html,Canal St,J-Z
http://www.mta.info/nyct/subway/index.html,City Hall,N-R
http://www.mta.info/nyct/subway/index.html,Canal St,N-R
http://www.mta.info/nyct/subway/index.html,South Ferry,1
http://www.mta.info/nyct/subway/index.html,Bowling Green,4-5
http://www.mta.info/nyct/subway/index.html,Wall St,4-5
http://www.mta.info/nyct/subway/index.html,Whitehall St,N-R
http://www.mta.info/nyct/subway/index.html,Rector St,N-R
http://www.mta.info/nyct/subway/index.html,Fresh Pond Rd,M
http://www.mta.info/nyct/subway/index.html,Middle Village - Metropolitan Ave,M
http://www.mta.info/nyct/subway/index.html,Rector St,1
http://www.mta.info/nyct/subway/index.html,Cortlandt St (Temporarily Closed),1
http://www.mta.info/nyct/subway/index.html,Fulton St,4-5
http://www.mta.info/nyct/subway/index.html,Broad St,J-Z
http://www.mta.info/nyct/subway/index.html,Cortlandt St (NB only),N-R
http://www.mta.info/nyct/subway/index.html,Wall St,2-3
